ID,Surname,Sex
1154,Абрамова,Ж
5563,Алания,Ж
5901,Александрия,Ж
5903,Александрова,Ж
5986,Алексеева,Ж
6428,Алиева,Ж
6548,Алина,Ж
7285,Альбина,Ж
8332,Амурская,Ж
8616,Ангелина,Ж
8741,Андреева,Ж
9884,Антонина,Ж
9900,Антонова,Ж
11643,Арина,Ж
12583,Архангельская,Ж
13378,Астафьева,Ж
13464,Астраханская,Ж
14119,Афанасьева,Ж
19519,Баранова,Ж
24155,Белая,Ж
24163,Белгородская,Ж
24533,Белова,Ж
25312,Беляева,Ж
30127,Богданова,Ж
31962,Большая,Ж
32732,Борисова,Ж
34709,Бреда,Ж
36247,Брянская,Ж
39157,Бурса,Ж
40020,Бухарская,Ж
41163,Вавилова,Ж
41880,Валентина,Ж
43593,Васильева,Ж
48068,Винницкая,Ж
48096,Виноградова,Ж
48477,Витебская,Ж
48936,Владимирская,Ж
49036,Власова,Ж
49164,Вова,Ж
49616,Воинская,Ж
50027,Волкова,Ж
50231,Вологодская,Ж
50684,Волынская,Ж
51069,Воробьева,Ж
51170,Воронежская,Ж
51567,Восточная,Ж
53565,Гагарина,Ж
54736,Галина,Ж
58285,Герасимова,Ж
63440,Гомельская,Ж
63784,Гончарова,Ж
65067,Городская,Ж
67361,Григорьева,Ж
68096,Гродненская,Ж
70783,Гусева,Ж
71591,Давыдова,Ж
72217,Данилова,Ж
74228,Демидова,Ж
74569,Денисова,Ж
77014,Дина,Ж
77372,Дмитриева,Ж
79282,Донецкая,Ж
84807,Егорова,Ж
85903,Ельцина,Ж
86711,Ефимова,Ж
87592,Жданова,Ж
88374,Женева,Ж
89687,Житомирская,Ж
90327,Жукова,Ж
90557,Журавлева,Ж
92825,Зайцева,Ж
94479,Запорожская,Ж
95472,Захарова,Ж
100102,Иванова,Ж
100168,Ивановская,Ж
101799,Ильина,Ж
103088,Ирина,Ж
103255,Исаева,Ж
105426,Казакова,Ж
106561,Калашникова,Ж
106876,Калинина,Ж
107242,Калуга,Ж
107272,Калужская,Ж
109778,Кара,Ж
110016,Каразина,Ж
110933,Карина,Ж
111645,Карпова,Ж
112834,Катарина,Ж
112926,Катерина,Ж
115748,Киевская,Ж
117093,Кирова,Ж
117426,Киселева,Ж
120567,Ковалева,Ж
121975,Козлова,Ж
123209,Колесникова,Ж
124988,Комарова,Ж
126140,Коновалова,Ж
127738,Кордова,Ж
128875,Королева,Ж
130258,Коста,Ж
130591,Кострома,Ж
130616,Костромская,Ж
130788,Костя,Ж
131221,Котова,Ж
133018,Красная,Ж
134772,Кристина,Ж
136012,Крылова,Ж
136453,Куба,Ж
137568,Кузнецова,Ж
137733,Кузьмина,Ж
137852,Куйбышева,Ж
138489,Куликова,Ж
140167,Курганская,Ж
141051,Курская,Ж
146034,Лебедева,Ж
147665,Ленина,Ж
147666,Ленинградская,Ж
149687,Липецкая,Ж
152222,Ломоносова,Ж
153152,Луганская,Ж
154806,Львовская,Ж
157652,Макарова,Ж
158194,Максимова,Ж
158499,Малая,Ж
159098,Малышева,Ж
159212,Мальцева,Ж
161224,Марина,Ж
161461,Маркова,Ж
163136,Матвеева,Ж
164488,Маша,Ж
164952,Медведева,Ж
165512,Мекка,Ж
165928,Мельникова,Ж
167353,Мечникова,Ж
169279,Минская,Ж
169782,Миронова,Ж
170779,Михайлова,Ж
171882,Могилевская,Ж
174016,Морозова,Ж
174439,Москва,Ж
174497,Московская,Ж
178496,На,Ж
179346,Назарова,Ж
182501,Некрасова,Ж
184349,Нижняя,Ж
184590,Никитина,Ж
184759,Николаева,Ж
184769,Николаевская,Ж
185541,Новая,Ж
185549,Новгородская,Ж
185580,Новикова,Ж
186429,Носова,Ж
188192,Огарева,Ж
188482,Одесская,Ж
190826,Орлова,Ж
190846,Орловская,Ж
191237,Осипова,Ж
191738,Острова,Ж
192844,Павлова,Ж
195111,Пара,Ж
197040,Паша,Ж
197847,Пензенская,Ж
199925,Петрова,Ж
201861,Пирогова,Ж
203301,Плеханова,Ж
207222,Полина,Ж
207761,Полтава,Ж
207765,Полтавская,Ж
208289,Польша,Ж
208392,Полякова,Ж
208979,Пономарева,Ж
209344,Попова,Ж
214847,Псковская,Ж
216261,Пушкина,Ж
217863,Раевская,Ж
220703,Регина,Ж
222172,Рига,Ж
222605,Ровенская,Ж
223369,Роза,Ж
223938,Романова,Ж
224432,Российская,Ж
224554,Ростовская,Ж
224622,Рота,Ж
227454,Рязанская,Ж
228025,Савельева,Ж
230248,Самара,Ж
230288,Самарская,Ж
232000,Саратовская,Ж
233511,Свердловская,Ж
234596,Северная,Ж
235937,Семенова,Ж
237203,Сергеева,Ж
238149,Сибирская,Ж
238747,Сидорова,Ж
244215,Смирнова,Ж
244361,Смоленская,Ж
245605,Соколова,Ж
246946,Сорокина,Ж
249724,Степанова,Ж
253320,Сумская,Ж
256853,Тамара,Ж
256898,Тамбовская,Ж
257683,Тарасова,Ж
258982,Тверская,Ж
260512,Тернопольская,Ж
261575,Тимофеева,Ж
262051,Титова,Ж
262261,Тихонова,Ж
263702,Томская,Ж
267492,Тульская,Ж
271031,Ульянова,Ж
271034,Ульяновская,Ж
272507,Уфа,Ж
272740,Ушакова,Ж
274466,Федорова,Ж
274592,Федотова,Ж
275710,Филатова,Ж
275884,Филиппова,Ж
277131,Фомина,Ж
277651,Франковская,Ж
277936,Фролова,Ж
280835,Харьковская,Ж
281698,Херсонская,Ж
282764,Хмельницкая,Ж
292270,Черкасская,Ж
292494,Черниговская,Ж
292634,Чернова,Ж
292655,Черновицкая,Ж
293769,Чешская,Ж
306967,Школа,Ж
312558,Щербакова,Ж
313526,Экономическая,Ж
313617,Элина,Ж
314614,Южная,Ж
316519,Яковлева,Ж
317692,Ярославская,Ж
